Codigo;Nome;TipoEstacao;TipoEstacaoCodigo;Operando;CodigoAdicional;Latitude;Longitude;Altitude;AreaDrenagem;Bacia;BaciaCodigo;SubBacia;SubBaciaCodigo;Rio;RioCodigo;UF;UFCodigo;Municipio;MunicipioCodigo;Responsavel;ResponsavelSigla;ResponsavelCodigo;ResponsavelUnidade;Operadora;OperadoraSigla;OperadoraCodigo;OperadoraUnidade;OperadoraRoteiro;EscalaNivel;EscalaNivelInicio;EscalaNivelFim;RegistradorNivel;RegistradorNivelInicio;RegistradorNivelFim;MedicaoDescargaLiquida;MedicaoDescargaLiquidaInicio;MedicaoDescargaLiquidaInicioFim;MedicaoDescargaSolida;MedicaoDescargaSolidaInicio;MedicaoDescargaSolidaFim;MedicaoQA;MedicaoQAInicio;MedicaoQAFim;PluviometroConvencional;PluviometroConvencionalInicio;PluviometroConvencionalFim;RegistradorChuva;RegistradorChuvaInicio;RegistradorChuvaFim;TanqueEvaporimetrico;TanqueEvaporimetricoInicio;TanqueEvaporimetricoFim;EstacaoClimatologica;EstacaoClimatologicaInicio;EstacaoClimatologicaFim;EstacaoPiezometria;EstacaoPiezometriaInicio;EstacaoPiezometriaFim;EstacaoTelemetrica;EstacaoTelemetricaInicio;EstacaoTelemetricaFim;RedeBasica;RedeEnergetica;RedeNavegacao;RedeCursoDagua;RedeEstrategica;RedeCaptacao;RedeRHNR;RedeQA;RedeClasseVazao;Descricao;Geom;x;y
"1.547.099";PIPIRIPAU MONTANTE CANAL;Pluviométrica;"2";Sim;ADASA;"-15,64";"-47,574";"980";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";DF;Serviço Geológico do Brasil;SGB-CPRM;"82";DF;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/1/2020;;Não;;;Não;;;Não;;;Não;;;Sim;31/1/2020;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA;;"-47,574";"-15,64"
"1.547.100";RIBEIRÃO SOBRADINHO;Pluviométrica;"2";Sim;ADASA;"-15,727";"-47,697";;;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";DF;Serviço Geológico do Brasil;SGB-CPRM;"82";DF;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/1/2020;;Não;;;Não;;;Não;;;Não;;;Sim;31/1/2020;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TEELEMPETRICA;;"-47,697";"-15,727"
"1.547.101";RIBEIRÃO JARDIM DF-100;Pluviométrica;"2";Sim;ADASA;"-15,974";"-47,399";;;RIO SÃO FRANCISCO;"4";RIOS SÃO FRANCISCO,PARACATU E;"42";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";;Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/6/2017;;Não;;;Não;;;Não;;;Não;;;Sim;30/6/2017;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;;;"-47,399";"-15,974"
"1.547.102";RIBEIRÃO DO GAMA;Pluviométrica;"2";Sim;;"-15,858";"-47,874";;;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";DF;Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";DF;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/7/2020;;Não;;;Não;;;Não;;;Não;;;Sim;31/7/2020;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA;;"-47,874";"-15,858"
"1.547.103";FAZENDA ENCONTRO DAS ÁGUAS;Pluviométrica;"2";Sim;;"-15,806";"-47,707";"875";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";DF;Serviço Geológico do Brasil;SGB-CPRM;"82";DF;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/8/2022;;Não;;;Não;;;Não;;;Sim;31/8/2022;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - DUALBASE;;"-47,707";"-15,806"
"1.547.104";RIO PARANOÁ;Pluviométrica;"2";Sim;;"-15,806";"-47,707";"875";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";DF;Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";DF;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/8/2022;;Não;;;Não;;;Não;;;Não;;;Sim;30/9/2022;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA;;"-47,707";"-15,806"
"1.547.105";RIBEIRÃO JACARÉ (ADASA);Pluviométrica;"2";Sim;ADASA;"-15,641";"-47,356";"874";;RIO SÃO FRANCISCO;"4";RIOS SÃO FRANCISCO,PARACATU E;"42";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";DF;Serviço Geológico do Brasil;SGB-CPRM;"82";GO;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/10/2014;;Não;;;Não;;;Não;;;Não;;;Sim;31/10/2014;;Sim;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES;;"-47,356";"-15,641"
"1.547.106";PIPIRIPAU FRINOCAP - DF 230 (ADASA);Pluviométrica;"2";Sim;ADASA;"-15,659";"-47,625";"925";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";DF;Serviço Geológico do Brasil;SGB-CPRM;"82";GO;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/6/2017;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES;;"-47,625";"-15,659"
"1.547.107";SANTA MARIA - BARRAGEM (ADASA);Pluviométrica;"2";Sim;ADASA;"-15,669";"-47,953";"1.075";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";DF;Serviço Geológico do Brasil;SGB-CPRM;"82";GO;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/10/2014;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES;;"-47,953";"-15,669"
"1.547.108";MONT ZOOLOGICO-EPIA 003-RIACHO FUNDO (ADASA);Pluviométrica;"2";Sim;ADASA;"-15,859";"-47,942";"1.005";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";DF;Serviço Geológico do Brasil;SGB-CPRM;"82";GO;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/1/2016;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES;;"-47,942";"-15,859"
"1.548.005";GAMA ETE ALAGADO;Pluviométrica;"2";Sim;;"-16,025";"-48,098";"980";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/10/1970;;Não;30/11/2010;30/11/2011;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Sim;Nulo;Não;Não;Não;;;"-48,098";"-16,025"
"1.548.006";TAGUATINGA - ETA RD;Pluviométrica;"2";Sim;;"-15,79";"-48,113";"1.269";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/1970;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Sim;Nulo;Não;Não;Não;;;"-48,113";"-15,79"
"1.548.007";ETA - BRAZLÂNDIA;Pluviométrica;"2";Sim;;"-15,659";"-48,191";"1.098";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/1970;;Sim;31/12/1970;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Sim;Nulo;Não;Não;Não;;;"-48,191";"-15,659"
"1.548.008";DESCOBERTO;Pluviométrica;"2";Sim;;"-15,779";"-48,23";"1.061";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/9/1978;;Sim;30/11/2010;;Não;;;Sim;30/9/1978;;Não;;;Não;;;Não;Não;Não;Não;Sim;Nulo;Não;Não;Não;;;"-48,23";"-15,779"
"1.548.010";ETE RIACHO FUNDO-GM-3;Pluviométrica;"2";Sim;;"-15,891";"-48,025";"1.185";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/9/1978;;Sim;30/9/1978;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Sim;Nulo;Não;Não;Não;;;"-48,025";"-15,891"
"1.548.014";UEPAE;Pluviométrica;"2";Sim;P29;"-15,933";"-48,133";"997,6";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Empresa Brasileira de Pesquisa Agropecuária;EMBRAPA/IPAGRO;"42";;Empresa Brasileira de Pesquisa Agropecuária;EMBRAPA/IPAGRO;"42";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/1970;;Sim;31/12/1970;;Sim;31/12/1970;;Sim;31/12/1970;;Não;;;Não;;;Não;Não;Não;Nulo;Não;Nulo;Não;Não;Não;;;"-48,133";"-15,933"
"1.548.016";DESCOBERTO JUSANTE;Pluviométrica;"2";Sim;;"-15,78";"-48,233";"1.007,4";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;28/2/1998;;Não;;;Não;;;Não;;;Não;;;Sim;28/2/1998;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRIC;;"-48,233";"-15,78"
"1.548.033";ETE - RECANTO DAS EMAS;Pluviométrica;"2";Sim;;"-15,932";"-48,112";"1.117";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/4/2007;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;;;"-48,112";"-15,932"
"1.548.034";ETE - MELCHIOR;Pluviométrica;"2";Sim;;"-15,866";"-48,153";"1.022";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/4/2007;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;;;"-48,153";"-15,866"
"1.548.037";TAGUATINGA;Pluviométrica;"2";Sim;ADASA;"-15,853";"-48,095";;;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";;Serviço Geológico do Brasil;SGB-CPRM;"82";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/3/2009;;Sim;30/4/2009;;Não;;;Não;;;Não;;;Não;31/7/2015;30/6/2017;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;;;"-48,095";"-15,853"
"1.548.038";MELCHIOR;Pluviométrica;"2";Sim;ADASA;"-15,927";"-48,259";;;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";;Serviço Geológico do Brasil;SGB-CPRM;"82";;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/3/2009;;Sim;31/3/2009;;Não;;;Não;;;Não;;;Sim;31/7/2020;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA;;"-48,259";"-15,927"
"1.548.039";SAMAMBAIA;Pluviométrica;"2";Sim;ADASA;"-15,944";"-48,248";;;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";;Serviço Geológico do Brasil;SGB-CPRM;"82";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/3/2009;;Sim;31/3/2009;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;;;"-48,248";"-15,944"
"1.548.040";VICENTE PIRES - MONTANTE;Pluviométrica;"2";Sim;ADASA;"-15,808";"-48,007";;;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";;Serviço Geológico do Brasil;SGB-CPRM;"82";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/3/2009;;Sim;31/3/2009;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;;;"-48,007";"-15,808"
"1.548.041";RADIOBRAS;Pluviométrica;"2";Sim;;"-15,599";"-48,132";"1.300";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/2010;;Sim;31/12/2010;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;;;"-48,132";"-15,599"
"1.548.042";SANTA MARIA POR. 9;Pluviométrica;"2";Sim;;"-15,677";"-48,071";"1.245";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/11/2011;;Sim;30/11/2011;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;;;"-48,071";"-15,677"
"1.548.048";BRASÍLIA_Águas Claras;Pluviométrica;"2";Sim;530010801;"-15,828";"-48,023";"1.122";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Centro Nacional de Monitoramento e Alertas de Desastres Naturais.;CEMADEN;"451";SP;Centro Nacional de Monitoramento e Alertas de Desastres Naturais.;CEMADEN;"451";SP;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/2013;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/2013;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA;;"-48,023";"-15,828"
"1.548.049";BRASÍLIA_Ceilandia;Pluviométrica;"2";Sim;530010802;"-15,818";"-48,153";"1.166";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Centro Nacional de Monitoramento e Alertas de Desastres Naturais.;CEMADEN;"451";SP;Centro Nacional de Monitoramento e Alertas de Desastres Naturais.;CEMADEN;"451";SP;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/2013;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/2013;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA;;"-48,153";"-15,818"
"1.548.051";RAP VICENTE PIRES;Pluviométrica;"2";Sim;;"-15,784";"-48,049";"1.259";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/2016;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;;;"-48,049";"-15,784"
"1.548.052";DESCOBERTO JUS. CAPTAÇÃO BARROCÃO;Pluviométrica;"2";Sim;;"-15,634";"-48,184";"1.094";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/9/2014;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES;;"-48,184";"-15,634"
"1.548.053";DESCOBERTO BARRAGEM;Pluviométrica;"2";Sim;;"-15,778";"-48,231";"1.032,97";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/10/2014;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;;;"-48,231";"-15,778"
"1.548.054";DESCOBERTO - BARRAGEM;Pluviométrica;"2";Sim;;"-15,778";"-48,231";"1.032,97";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/10/2014;;Não;;;Não;;;Não;;;Não;;;Sim;31/10/2014;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES;;"-48,231";"-15,778"
"1.548.055";DESCOBERTO - CHACARA 89;Pluviométrica;"2";Sim;;"-15,709";"-48,234";"1.034,89";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;"14";Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/2016;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES;;"-48,234";"-15,709"
"1.548.056";DESCOBERTO JUS. CAPTAÇÃO BARRACÃO;Pluviométrica;"2";Sim;;"-15,634";"-48,184";"1.094";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;30/9/2014;;Não;;;Não;;;Não;;;Não;;;Sim;30/9/2014;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES;;"-48,184";"-15,634"
"1.548.057";RODEADOR - DF 435;Pluviométrica;"2";Sim;;"-15,725";"-48,168";"1.035,16";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";;"13";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/2016;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/2016;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES;;"-48,168";"-15,725"
"1.548.058";RIBEIRÃO DAS PEDRAS;Pluviométrica;"2";Sim;ADASA;"-15,762";"-48,159";;;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";DF;Serviço Geológico do Brasil;SGB-CPRM;"82";DF;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/1/2020;;Não;;;Não;;;Não;;;Não;;;Sim;31/1/2020;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA;;"-48,159";"-15,762"
"1.548.059";RIO DESCOBERTO;Pluviométrica;"2";Sim;ADASA;"-15,931";"-48,258";;;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";DF;Serviço Geológico do Brasil;SGB-CPRM;"82";DF;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/1/2020;;Não;;;Não;;;Não;;;Não;;;Sim;31/1/2020;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA;;"-48,257";"-15,931"
"1.548.060";CAPÃO DA ONÇA MONTANTE CAPTAÇÃO;Pluviométrica;"2";Sim;;"-15,657";"-48,165";"1.161";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";DF;Companhia de Saneamento Ambiental do Distrito Federal;CAESB;"77";DF;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/2018;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/2018;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA;;"-48,165";"-15,657"
"1.548.061";DESCOBERTO - BARRAGEM (ADASA);Pluviométrica;"2";Sim;ADASA;"-15,778";"-48,231";"1.033";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";DF;Serviço Geológico do Brasil;SGB-CPRM;"82";GO;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/10/2014;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;;;"-48,231";"-15,778"
"1.548.062";DESCOBERTO - CHACARA 89 (ADASA);Pluviométrica;"2";Sim;ADASA;"-15,709";"-48,234";"1.035";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";DF;Serviço Geológico do Brasil;SGB-CPRM;"82";GO;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/2016;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES;;"-48,234";"-15,709"
"1.548.063";RODEADOR - DF 435 (ADASA);Pluviométrica;"2";Sim;ADASA;"-15,725";"-48,168";"1.035";;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";DF;Serviço Geológico do Brasil;SGB-CPRM;"82";GO;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/12/2016;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES;;"-48,168";"-15,725"
"1.647.009";RIO SÃO BERNARDO;Pluviométrica;"2";Sim;ANA;"-16,036";"-47,415";"869";;RIO SÃO FRANCISCO;"4";RIOS SÃO FRANCISCO,PARACATU E;"42";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Nacional de Águas ;ANA;"1";DF;Serviço Geológico do Brasil;SGB-CPRM;"82";GO;"95";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;28/2/2006;;Não;31/3/2006;30/11/2018;Não;;;Não;;;Não;;;Sim;31/10/2014;;Sim;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA - VAISALA_GOES;;"-47,415";"-16,036"
"1.647.013";CACHOEIRINHA;Pluviométrica;"2";Sim;ADASA;"-16,036";"-47,685";;;RIO PARANÁ;"6";RIO PARANAÍBA;"60";;"0";DISTRITO FEDERAL;"27";BRASÍLIA;"27.001.000";Agência Reguladora de Águas e Saneamento - DF;ADASA-DF;"190";;Serviço Geológico do Brasil;SGB-CPRM;"82";;"1";Não;;;Não;;;Não;;;Não;;;Não;;;Sim;31/3/2009;;Sim;31/3/2009;;Não;;;Não;;;Não;;;Sim;31/7/2020;;Não;Não;Não;Não;Não;Nulo;Não;Não;Não;TELEMÉTRICA;;"-47,685";"-16,036"
